Datetime,EUR/USD,returns,Ask_Dir,SMA,SMA_Dir,RSI,RSI_Dir,fastk,fastd,fastk_Dir,fastd_Dir,proba,position
2023-06-01 20:50:00.000,1.076065,-5.57571590013055E-05,1,-3.05842366858973E-05,1,48.5189339316144,1,31.5533846925733,38.0679011763276,1,1,2.8738106E-12,-1
2023-06-01 21:00:00.000,1.07624,0.000162616358170013,0,4.64593341567439E-06,0,52.5200905153138,0,100,62.846041919302,0,0,1,1
2023-06-01 21:10:00.000,1.076195,-4.18131093449376E-05,0,3.09738967520454E-06,0,48.6579842532132,0,4.10823482459631,45.2205398390565,0,0,2.6896704E-10,-1
2023-06-01 21:20:00.000,1.076115,-7.43387337666934E-05,1,-3.48468481075746E-06,1,48.0447653474924,1,0,34.7027449415321,1,0,2.9809607E-14,-1
2023-06-01 21:30:00.000,1.076145,2.78776727734682E-05,1,9.29294619881538E-06,1,50.1965764652267,1,47.6044895107985,17.2375747784649,1,1,0.9999988,1
2023-06-01 21:40:00.000,1.076215,6.50448809907936E-05,0,3.7175585551125E-05,0,51.0015563251812,0,65.387993599116,37.6641610366381,0,1,1,1
2023-06-01 21:50:00.000,1.0762,-1.39378326206599E-05,0,2.78805229269355E-05,0,49.1595366328335,0,38.6579082221716,50.5501304440287,0,0,0.000010761154,-1
2023-06-01 22:00:00.000,1.076005,-0.000181209504237522,1,-1.89723492382378E-05,1,45.3734419358542,1,0,34.6819672737625,1,1,4.7694436E-29,-1
2023-06-01 22:10:00.000,1.076105,9.29320527967513E-05,1,1.93601696268285E-06,1,51.9849711956754,1,100,46.2193027407239,0,1,1,1
2023-06-01 22:20:00.000,1.07642,0.000292679529620937,0,3.21342985348002E-05,0,56.1988194401778,0,100,66.6666666666667,0,1,1,1
2023-06-01 22:30:00.000,1.07637,-4.6451349188108E-05,0,3.0199549660299E-05,0,48.3411575573035,0,27.3858315757858,75.7952771919286,0,0,5.681416E-10,-1
2023-06-01 22:40:00.000,1.07629,-7.43266470659309E-05,1,1.27763465939005E-05,1,47.7425904240428,1,21.7581879518884,49.7146731758914,1,0,8.125206E-14,-1
2023-06-01 22:50:00.000,1.076305,1.39366671390771E-05,1,1.85841654389323E-05,1,49.8859952552757,1,25.3189507195059,24.8209900823934,1,1,0.9987988,1
2023-06-01 23:00:00.000,1.07653,0.000209026702760848,0,2.24516941548353E-05,0,54.3962427213964,0,79.2895355008866,42.1222247240937,0,0,1,1
2023-06-01 23:10:00.000,1.07631,-0.00020438119021004,1,8.90435408274342E-06,0,45.0280353283456,1,0,34.8694954067975,1,1,4.392367E-33,-1
2023-06-01 23:20:00.000,1.076215,-8.82684289953914E-05,0,7.74354614701859E-06,0,47.7834412668046,0,29.3354845176735,36.2083400061867,0,0,2.6424798E-15,-1
2023-06-01 23:30:00.000,1.07602,-0.000181206978358315,1,-9.68017478063003E-06,0,45.7797878356731,1,7.66612091776863,12.3338684784807,1,1,3.0585791E-30,-1
2023-06-01 23:40:00.000,1.07602,0,1,-1.51005815298628E-05,1,50.2196615349317,1,54.9215464137962,30.6410506164128,1,1,0.027421018,-1
2023-06-01 23:50:00.000,1.07612,9.29307573597045E-05,0,-6.19486569816579E-06,1,52.4003147361002,0,100,54.1958891105216,0,1,1,1
