Date,Open,High,Low,Close,Adj Close,Volume
1988-08-01,30.114723,30.234226,29.965343,30.174475,12.577580,4544242
1988-08-02,30.234226,30.323853,29.786091,30.054972,12.527766,5599866
1988-08-03,30.054972,30.234226,29.995220,30.054972,12.527766,8039138
1988-08-04,29.995220,29.995220,29.636711,29.696463,12.487565,4660139
1988-08-05,29.547085,29.696463,29.517208,29.606836,12.449880,3016664
1988-08-08,29.576960,29.726337,29.427582,29.427582,12.374508,2707048
1988-08-09,29.547085,29.547085,29.069073,29.069073,12.223748,6805276
1988-08-10,28.979446,29.069073,28.411806,28.411806,11.947359,8520716
1988-08-11,28.531309,28.591061,28.053299,28.441683,11.959924,7962152
1988-08-12,28.352055,28.381931,28.172800,28.202677,11.859422,3914132
1988-08-15,28.113050,28.172800,27.485661,27.515535,11.570467,6962176
1988-08-16,27.485661,27.903919,27.396032,27.664913,11.633285,9221536
1988-08-17,27.664913,27.814293,27.186901,27.396032,11.520218,6140857
1988-08-18,27.425907,27.605164,27.276529,27.396032,11.520218,3800746
1988-08-19,27.455784,27.485661,26.888145,26.947897,11.331775,5522462
1988-08-22,27.007648,27.037523,26.469885,26.469885,11.130771,4685243
1988-08-23,26.559511,26.708891,26.380259,26.499762,11.143338,4994441
1988-08-24,26.619265,26.977772,26.589388,26.947897,11.331775,5515349
1988-08-25,26.708891,26.798517,26.469885,26.679014,11.218708,5146320
1988-08-26,26.679014,26.947897,26.649139,26.828394,11.281528,3217496
1988-08-29,26.947897,27.246655,26.947897,27.097275,11.394589,3629202
1988-08-30,27.157026,27.186901,26.918020,26.977772,11.344342,3752211
1988-08-31,27.097275,27.127151,26.469885,26.649139,11.206146,3900325
1988-09-01,26.559511,26.559511,26.171127,26.350382,11.080519,6226210
1988-09-02,26.679014,27.425907,26.679014,27.246655,11.457402,6547542
1988-09-06,27.186901,27.216778,26.858271,26.977772,11.344342,4009109
1988-09-07,27.067400,27.067400,26.679014,26.708891,11.231276,3847188
1988-09-08,26.679014,27.037523,26.619265,26.798517,11.268965,4385669
1988-09-09,26.768642,27.545410,26.589388,27.336281,11.495096,8250848
1988-09-12,27.455784,27.575287,27.097275,27.157026,11.419721,5464304
1988-09-13,26.947897,27.485661,26.888145,27.485661,11.557916,5512420
1988-09-14,27.664913,27.694790,27.127151,27.396032,11.520218,7697305
1988-09-15,27.455784,27.575287,27.186901,27.186901,11.432283,3753048
1988-09-16,27.127151,27.485661,27.097275,27.306404,11.482536,9859596
1988-09-19,27.186901,27.276529,26.708891,26.947897,11.331775,6483108
1988-09-20,26.918020,27.097275,26.858271,26.947897,11.331775,3063943
